L1 Associativity
problem;l1dassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48221;2208;2855;1679;2244;1679;64;280009;1,0
300;2;48229;1976;2570;1678;2244;1678;64;278716;0,995382291283
300;3;48221;1925;2509;1672;2243;1672;64;278029;0,992928798717
300;4;48204;1909;2494;1687;2244;1687;64;278911;0,99607869747
300;5;48211;1918;2503;1679;2245;1679;64;278486;0,994560889114
300;6;48211;1897;2481;1666;2245;1666;64;277577;0,991314564889
300;7;48204;1899;2481;1687;2244;1687;64;278853;0,995871561271
300;8;48220;1899;2486;1650;2248;1650;64;276700;0,988182522705
512;1;47689;2448;3229;1585;2131;1585;64;271510;1,0
512;2;47690;1838;2428;1584;2129;1584;64;267805;0,986354093772
512;3;47682;1803;2389;1585;2130;1585;64;267717;0,98602998048
512;4;47690;1797;2384;1584;2129;1584;64;267623;0,985683768554
512;5;47690;1797;2381;1584;2129;1584;64;267605;0,985617472653
512;6;47690;1778;2361;1584;2129;1584;64;267523;0,985315457994
512;7;47682;1780;2365;1585;2130;1585;64;267619;0,985669036131
512;8;47689;1781;2368;1585;2131;1585;64;267678;0,985886339361
1000;1;48210;2241;2891;1700;2245;1700;64;281489;1,0
1000;2;48210;1957;2549;1680;2244;1680;64;278716;0,990148815762
1000;3;48218;1918;2503;1674;2244;1674;64;278156;0,988159395216
1000;4;48218;1919;2503;1699;2245;1699;64;279758;0,993850558992
1000;5;48217;1908;2494;1680;2246;1680;64;278556;0,989580409892
1000;6;48218;1903;2484;1699;2245;1699;64;279676;0,993559250983
1000;7;48218;1901;2482;1699;2245;1699;64;279668;0,99353083069
1000;8;48218;1898;2483;1651;2244;1651;64;276627;0,982727566619
