L1 Size
problem;l1dsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1k;48238;9296;11993;1700;2248;1700;64;322134;1,0
300;2k;48229;6673;8379;1678;2244;1678;64;304176;0,944253012721
300;4k;48238;3560;4386;1665;2247;1665;64;285730;0,886991127916
300;8k;48229;2853;3528;1650;2243;1650;64;280917;0,872050140625
300;16k;48216;2051;2654;1680;2246;1680;64;279228;0,866806980946
300;64k;48216;1810;2367;1700;2246;1700;64;279248;0,86686906691
300;128k;48221;1685;2254;1679;2245;1679;64;277478;0,861374459076
300;256k;48230;1701;2249;1701;2249;1701;64;278936;0,865900525868
300;512k;48221;1699;2245;1699;2245;1699;64;278656;0,865031322369
512;1k;47690;8988;11635;1584;2129;1584;64;308747;1,0
512;2k;47696;6066;7772;1586;2133;1586;64;291667;0,944679624417
512;4k;47696;3042;3877;1586;2133;1586;64;274345;0,888575435551
512;8k;47696;2214;2873;1586;2133;1586;64;269977;0,874427929664
512;16k;47682;1896;2497;1585;2130;1585;64;268179;0,868604391298
512;64k;47699;1707;2277;1586;2133;1586;64;267421;0,866149306714
512;128k;47687;1590;2136;1587;2134;1587;64;266877;0,864387346274
512;256k;47678;1585;2130;1585;2130;1585;64;266591;0,863461021484
512;512k;47670;1586;2131;1586;2131;1586;64;266671;0,863720133313
1000;1k;48210;9369;11933;1680;2244;1680;64;320196;1,0
1000;2k;48217;6441;8037;1680;2246;1680;64;302748;0,94550837612
1000;4k;48210;3645;4480;1700;2245;1700;64;288215;0,900120551162
1000;8k;48227;2857;3535;1671;2248;1671;64;282415;0,882006645929
1000;16k;48221;2061;2665;1655;2245;1655;64;277680;0,867218828468
1000;64k;48221;1821;2386;1659;2245;1659;64;276738;0,864276880411
1000;128k;48227;1687;2256;1680;2247;1680;64;277619;0,867028320154
1000;256k;48237;1681;2250;1681;2250;1681;64;277765;0,867484290872
1000;512k;48237;1702;2250;1702;2250;1702;64;279046;0,871484965459
