L2 Associativity
problem;l2uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48211;1900;2485;1851;2328;1670;64;279168;1,0
300;2;48220;1904;2490;1711;2261;1701;64;280244;1,00385430995
300;3;48204;1898;2482;1660;2245;1659;64;277120;0,992663915635
300;4;48204;1903;2485;1700;2245;1700;64;279717;1,00196655777
300;8;48204;1899;2483;1684;2244;1684;64;278676;0,998237620358
300;16;48220;1897;2482;1693;2245;1693;64;279302;1,00047999771
300;32;48220;1898;2483;1680;2244;1680;64;278458;0,997456728565
300;64;48229;1903;2488;1701;2249;1701;64;279964;1,00285132967
300;128;48235;1899;2486;1653;2248;1653;64;276919;0,991943919074
512;1;47682;1785;2372;1641;2157;1585;64;268098;1,0
512;2;47689;1782;2369;1591;2137;1585;64;267820;0,998963065745
512;3;47682;1785;2372;1591;2135;1585;64;267760;0,998739266984
512;4;47690;1780;2366;1584;2129;1584;64;267549;0,997952241345
512;8;47699;1782;2370;1586;2133;1586;64;267829;0,998996635559
512;16;47677;1780;2367;1586;2132;1586;64;267742;0,998672127356
512;32;47681;1784;2373;1587;2134;1587;64;267899;0,999257734112
512;64;47681;1784;2373;1587;2134;1587;64;267899;0,999257734112
512;128;47689;1782;2370;1587;2134;1587;64;267901;0,999265194071
1000;1;48210;1898;2482;1735;2275;1691;64;279760;1,0
1000;2;48212;1898;2482;1692;2248;1688;64;279032;0,997397769517
1000;3;48219;1902;2485;1714;2260;1700;64;280100;1,00121532742
1000;4;48229;1898;2485;1692;2248;1692;64;279360;0,998570203031
1000;8;48229;1903;2488;1701;2249;1701;64;279964;1,00072919645
1000;16;48236;1900;2488;1681;2249;1681;64;278724;0,996296825851
1000;32;48227;1899;2484;1679;2245;1679;64;278442;0,995288818988
1000;64;48227;1898;2483;1682;2244;1682;64;278598;0,995846439806
1000;128;48231;1902;2485;1700;2246;1700;64;279802;1,00015012868
