L2 Size
problem;l2usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;64k;48220;1901;2489;1821;2343;1681;64;280582;1,0
300;128k;48229;1902;2488;1703;2251;1701;64;280012;0,997968508315
300;256k;48219;1899;2482;1700;2246;1700;64;279766;0,997091759272
300;512k;48220;1897;2482;1658;2245;1658;64;277097;0,987579388557
300;1m;48221;1903;2485;1699;2244;1699;64;279659;0,996710409078
300;2m;48221;1904;2486;1699;2244;1699;64;279663;0,99672466516
300;4m;48226;1900;2483;1698;2244;1698;64;279600;0,996500131869
300;8m;48235;1899;2487;1680;2248;1680;64;278626;0,993028775902
300;16m;48221;1898;2482;1696;2243;1696;64;279433;0,995904940445
512;64k;47699;1782;2371;1701;2229;1586;64;269929;1,0
512;128k;47687;1785;2373;1588;2135;1587;64;267932;0,99260175824
512;256k;47687;1783;2371;1587;2134;1587;64;267901;0,992486913225
512;512k;47678;1783;2369;1585;2130;1585;64;267629;0,991479240837
512;1m;47687;1780;2366;1584;2129;1584;64;267543;0,991160638538
512;2m;47686;1781;2368;1585;2131;1585;64;267672;0,991638541987
512;4m;47686;1778;2365;1585;2131;1585;64;267660;0,991594085852
512;8m;47679;1785;2372;1585;2130;1585;64;267645;0,991538515684
512;16m;47689;1779;2366;1585;2131;1585;64;267670;0,991631132631
1000;64k;48221;1897;2482;1803;2340;1693;64;281399;1,0
1000;128k;48227;1901;2484;1704;2252;1699;64;279871;0,994569987811
1000;256k;48219;1898;2482;1685;2244;1685;64;278765;0,990639625585
1000;512k;48226;1896;2481;1691;2245;1691;64;279184;0,99212861453
1000;1m;48221;1900;2488;1681;2249;1681;64;278694;0,990387314809
1000;2m;48205;1898;2482;1695;2244;1695;64;279367;0,99277893667
1000;4m;48212;1891;2483;1672;2231;1672;64;277575;0,986410754836
1000;8m;48221;1900;2487;1671;2248;1671;64;278029;0,988024122332
1000;16m;48221;1898;2483;1652;2244;1652;64;276696;0,983287076358
