Line Size
problem;lsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;8;49172;7870;8579;7399;8133;7399;8;836072;1,0
300;16;48314;5190;7002;4810;6574;4810;16;621936;0,74387851764
300;32;47898;3007;4051;2740;3739;2740;32;395139;0,472613602656
300;64;47687;1781;2367;1583;2128;1583;64;267455;0,319894698064
300;128;47525;1091;1422;925;1220;925;128;319076;0,381636988202
300;256;47475;724;926;553;714;553;256;378328;0,452506482695
300;512;47451;585;718;341;432;341;512;459770;0,549916753581
300;1024;47447;577;677;206;260;206;1024;562680;0,673004238869
512;8;52584;8811;9477;8235;9046;8235;8;925547;1,0
512;16;50084;5660;7455;5242;7026;5242;16;667578;0,721279416388
512;32;48847;3242;4276;2967;3964;2967;32;418743;0,452427591468
512;64;48238;1897;2485;1680;2247;1680;64;278595;0,301005783607
512;128;47860;1146;1477;968;1277;968;128;330119;0,356674485466
512;256;47707;763;964;574;744;574;256;389838;0,421197410828
512;512;47633;613;750;348;447;348;512;468545;0,506235771927
512;1024;47601;600;705;214;271;214;1024;581243;0,627999442492
1000;8;52583;8815;9471;8198;9034;8198;8;922822;1,0
1000;16;50085;5656;7452;5238;7022;5238;16;667202;0,723001835674
1000;32;48848;3242;4277;2968;3965;2968;32;418843;0,453871927631
1000;64;48229;1895;2480;1660;2244;1660;64;277204;0,30038729029
1000;128;47859;1146;1478;960;1274;960;128;328516;0,355990646083
1000;256;47708;763;966;571;743;571;256;388491;0,420981511061
1000;512;47634;609;746;350;448;350;512;470296;0,50962807562
1000;1024;47602;619;726;211;269;209;1024;574003;0,622008361309
