L1 Associativity
problem;l1dassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;47680;1969;2606;1587;2133;1587;64;268896;1,0
300;2;47681;1831;2423;1586;2131;1586;64;267955;0,996500505772
300;3;47673;1815;2402;1587;2132;1587;64;267937;0,996433565393
300;4;47673;1800;2388;1587;2132;1587;64;267883;0,996232744258
300;5;47681;1800;2384;1586;2131;1586;64;267783;0,995860853267
300;6;47679;1787;2373;1587;2133;1587;64;267860;0,99614720933
300;7;47679;1786;2371;1587;2133;1587;64;267850;0,996110020231
300;8;47672;1783;2370;1587;2132;1587;64;267807;0,995950107105
512;1;48220;2142;2774;1700;2246;1700;64;281034;1,0
512;2;48220;1956;2548;1680;2246;1680;64;278790;0,992015201008
512;3;48229;1928;2517;1686;2249;1686;64;279143;0,993271276785
512;4;48212;1915;2499;1701;2246;1701;64;279885;0,995911526719
512;5;48229;1909;2495;1678;2249;1678;64;278545;0,991143420369
512;6;48219;1914;2495;1701;2247;1701;64;279906;0,995986250774
512;7;48212;1920;2502;1701;2246;1701;64;279893;0,995939993026
512;8;48212;1903;2487;1681;2246;1681;64;278577;0,991257285595
1000;1;48229;2236;2933;1665;2245;1665;64;279584;1,0
1000;2;48238;1943;2538;1682;2250;1682;64;279034;0,998032791576
1000;3;48221;1934;2515;1701;2246;1701;64;279961;1,00134843196
1000;4;48228;1905;2491;1658;2246;1658;64;277180;0,991401510816
1000;5;48221;1917;2502;1681;2246;1681;64;278657;0,99668435962
1000;6;48228;1909;2493;1659;2246;1659;64;277247;0,99164115257
1000;7;48221;1901;2483;1694;2245;1694;64;279365;0,999216693373
1000;8;48221;1905;2487;1701;2246;1701;64;279851;1,00095499027
