L1 Size
problem;l1dsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1k;47679;8711;11286;1587;2133;1587;64;307490;1,0
300;2k;47680;6408;8262;1586;2131;1586;64;293833;0,955585547497
300;4k;47672;3102;3939;1587;2132;1587;64;274583;0,89298188559
300;8k;47689;2223;2878;1588;2135;1588;64;270159;0,878594425835
300;16k;47678;1903;2504;1587;2132;1587;64;268383;0,872818628248
300;64k;47686;1699;2260;1586;2131;1586;64;267251;0,869137207714
300;128k;47684;1589;2134;1587;2132;1587;64;266803;0,867680249764
300;256k;47684;1587;2132;1587;2132;1587;64;266795;0,867654232658
300;512k;47691;1587;2133;1587;2133;1587;64;266844;0,867813587434
512;1k;47676;8707;11292;1587;2133;1587;64;307528;1,0
512;2k;47676;6075;7824;1587;2133;1587;64;291984;0,949455008975
512;4k;47677;3075;3920;1586;2131;1586;64;274441;0,892409796832
512;8k;48228;2852;3534;1682;2250;1682;64;283172;0,920800707578
512;16k;48225;2058;2664;1680;2246;1680;64;279292;0,90818397024
512;64k;48225;1816;2373;1700;2246;1700;64;279290;0,908177466767
512;128k;48240;1687;2253;1684;2249;1684;64;277937;0,903777867381
512;256k;48240;1668;2249;1668;2249;1668;64;276943;0,900545641372
512;512k;48231;1700;2246;1700;2246;1700;64;278772;0,906493067298
1000;1k;48235;9302;11999;1682;2250;1682;64;321076;1,0
1000;2k;48235;6575;8303;1702;2250;1702;64;305614;0,951843177316
1000;4k;48226;3588;4409;1649;2246;1649;64;284751;0,886864792136
1000;8k;48218;2843;3516;1701;2246;1701;64;284143;0,884971159476
1000;16k;48222;2049;2648;1694;2246;1694;64;280090;0,872347979918
1000;64k;48222;1812;2371;1673;2246;1673;64;277579;0,864527401612
1000;128k;48204;1702;2247;1695;2245;1695;64;278376;0,867009679951
1000;256k;48211;1649;2245;1649;2245;1649;64;275586;0,858320148501
1000;512k;48204;1681;2246;1681;2246;1681;64;277559;0,864465111064
