L2 Associativity
problem;l2uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;47689;1785;2374;1652;2178;1588;64;268874;1,0
300;2;47672;1784;2371;1591;2135;1587;64;267874;0,996280785796
300;3;47672;1783;2370;1587;2132;1587;64;267807;0,996031598444
300;4;47672;1783;2370;1587;2132;1587;64;267807;0,996031598444
300;8;47679;1782;2369;1587;2133;1587;64;267846;0,996176647798
300;16;47686;1783;2369;1585;2130;1585;64;267645;0,995429085743
300;32;47686;1783;2369;1585;2130;1585;64;267645;0,995429085743
300;64;47678;1782;2369;1586;2131;1586;64;267723;0,995719184451
300;128;47699;1785;2374;1588;2135;1588;64;268031;0,996864702426
512;1;48212;1904;2488;1847;2314;1681;64;279557;1,0
512;2;48219;1898;2483;1677;2248;1667;64;277693;0,993332307901
512;3;48212;1901;2485;1681;2246;1681;64;278569;0,996465837021
512;4;48229;1905;2490;1703;2252;1702;64;280116;1,00199959221
512;8;48219;1898;2483;1657;2246;1657;64;277065;0,991085896615
512;16;48228;1900;2486;1697;2245;1697;64;279588;1,00011088973
512;32;48237;1899;2487;1695;2250;1695;64;279633;1,00027185869
512;64;48227;1900;2483;1701;2247;1701;64;279878;1,00114824526
512;128;48221;1903;2485;1701;2246;1701;64;279843;1,00102304718
1000;1;48228;1898;2484;1754;2276;1652;64;277032;1,0
1000;2;48228;1897;2483;1701;2251;1690;64;279243;1,00798102746
1000;3;48228;1897;2483;1669;2250;1662;64;277474;1,00159548355
1000;4;48229;1902;2488;1676;2246;1676;64;278304;1,00459152733
1000;8;48238;1901;2489;1682;2250;1682;64;278824;1,00646856681
1000;16;48239;1899;2486;1666;2249;1666;64;277775;1,00268200064
1000;32;48229;1898;2483;1681;2247;1681;64;278626;1,00575384793
1000;64;48222;1899;2483;1686;2245;1686;64;278867;1,00662378353
1000;128;48217;1902;2485;1700;2246;1700;64;279774;1,00989777354
