L2 Size
problem;l2usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;64k;47681;1785;2371;1691;2224;1586;64;269802;1,0
300;128k;47696;1787;2377;1588;2136;1587;64;267999;0,993317321591
300;256k;47696;1783;2372;1587;2134;1587;64;267925;0,993043046382
300;512k;47687;1786;2373;1585;2130;1585;64;267665;0,992079376728
300;1m;47686;1786;2375;1588;2135;1588;64;268009;0,993354385809
300;2m;47669;1784;2371;1587;2132;1587;64;267805;0,992598275773
300;4m;47669;1784;2372;1587;2132;1587;64;267811;0,992620514303
300;8m;47671;1781;2368;1587;2133;1587;64;267826;0,992676110629
300;16m;47679;1784;2371;1587;2133;1587;64;267854;0,992779890438
512;64k;48219;1898;2483;1810;2341;1696;64;281593;1,0
512;128k;48218;1899;2483;1698;2246;1695;64;279437;0,992343559677
512;256k;48225;1899;2484;1671;2245;1671;64;277934;0,987006069043
512;512k;48218;1901;2485;1681;2245;1681;64;278552;0,98920072587
512;1m;48208;1904;2486;1701;2246;1701;64;279821;0,993707229938
512;2m;48225;1900;2487;1682;2250;1682;64;278788;0,990038814885
512;4m;48225;1899;2486;1665;2249;1665;64;277684;0,986118262883
512;8m;48225;1900;2487;1670;2249;1670;64;278003;0,987251103543
512;16m;48212;1903;2487;1671;2245;1671;64;277918;0,986949249449
1000;64k;48229;1903;2486;1822;2346;1700;64;281970;1,0
1000;128k;48230;1899;2484;1683;2249;1680;64;278609;0,98808029223
1000;256k;48239;1901;2488;1679;2249;1679;64;278602;0,988055466894
1000;512k;48222;1900;2484;1667;2245;1667;64;277674;0,984764336632
1000;1m;48221;1904;2487;1700;2246;1700;64;279790;0,992268681065
1000;2m;48221;1903;2486;1700;2246;1700;64;279786;0,992254495159
1000;4m;48230;1902;2490;1680;2249;1680;64;278657;0,988250523105
1000;8m;48220;1903;2486;1701;2247;1701;64;279876;0,992573678051
1000;16m;48221;1905;2487;1701;2246;1701;64;279851;0,992485016136
