Line Size
problem;lsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;8;49182;7880;8594;7398;8132;7398;8;836070;1,0
300;16;48304;5191;7004;4810;6574;4810;16;621926;0,743868336383
300;32;47886;3005;4046;2739;3735;2739;32;394910;0,472340832705
300;64;47680;1782;2370;1588;2135;1588;64;267975;0,32051742079
300;128;47542;1086;1419;922;1217;922;128;318415;0,380847297475
300;256;47485;726;926;553;714;553;256;378380;0,452569760905
300;512;47460;596;729;341;432;341;512;460294;0,550544810841
300;1024;47436;570;667;208;263;208;1024;566005;0,676982788522
512;8;52591;8814;9475;8291;9036;8291;8;928781;1,0
512;16;50071;5652;7447;5243;7020;5243;16;667409;0,718585974519
512;32;48834;3241;4275;2969;3966;2969;32;418897;0,451018054848
512;64;48225;1902;2488;1701;2249;1701;64;279958;0,30142520142
512;128;47866;1145;1478;967;1275;967;128;329885;0,3551806077
512;256;47723;760;962;575;742;575;256;390196;0,420116259915
512;512;47637;618;755;348;447;348;512;468783;0,504729317245
512;1024;47588;620;729;212;269;212;1024;579127;0,623534503828
1000;8;52594;8809;9474;8235;9046;8235;8;925553;1,0
1000;16;50076;5656;7452;5212;7021;5212;16;665517;0,719047963758
1000;32;48839;3240;4276;2895;3966;2895;32;414253;0,447573504705
1000;64;48221;1899;2484;1690;2245;1690;64;279123;0,301574302066
1000;128;47869;1144;1474;977;1273;977;128;331705;0,358385743442
1000;256;47721;765;966;581;745;581;256;393047;0,424661796785
1000;512;47642;618;754;354;448;354;512;474528;0,512696733736
1000;1024;47610;581;689;212;271;211;1024;574018;0,620189227413
