L1 Size
problem;l1dsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1k;48220;9296;11904;1700;2246;1700;64;321506;1,0
300;2k;48229;6548;8227;1666;2249;1666;64;302903;0,942137938328
300;4k;48211;3625;4444;1681;2246;1681;64;286873;0,89227883772
300;8k;48211;2858;3536;1701;2246;1701;64;284219;0,884023937345
300;16k;48224;2049;2653;1681;2247;1681;64;279334;0,868829819661
300;64k;48224;1816;2378;1681;2247;1681;64;278150;0,86514715122
300;128k;48231;1684;2248;1681;2245;1681;64;277590;0,863405348578
300;256k;48223;1701;2246;1701;2246;1701;64;278817;0,86722176258
300;512k;48231;1700;2246;1700;2246;1700;64;278772;0,867081796296
512;1k;48212;9366;11959;1681;2246;1681;64;320483;1,0
512;2k;48220;6892;8720;1670;2246;1670;64;305320;0,952687038002
512;4k;48212;3619;4431;1698;2245;1698;64;287851;0,898178686545
512;8k;48212;2844;3522;1694;2246;1694;64;283724;0,885301248428
512;16k;48225;2058;2660;1701;2247;1701;64;280620;0,8756158673
512;64k;48235;1817;2381;1682;2250;1682;64;278338;0,868495364809
512;128k;48223;1681;2246;1681;2246;1681;64;277597;0,866183229688
512;256k;48225;1668;2247;1668;2247;1668;64;276843;0,863830530793
512;512k;48225;1696;2247;1696;2247;1696;64;278551;0,869159986645
1000;1k;48218;9373;11937;1690;2245;1690;64;320887;1,0
1000;2k;48235;6485;8139;1678;2250;1678;64;303298;0,945186311692
1000;4k;48226;3641;4467;1669;2245;1669;64;286224;0,891977549729
1000;8k;48218;2857;3535;1681;2246;1681;64;282969;0,881833791958
1000;16k;48222;2057;2656;1701;2246;1701;64;280563;0,874335825384
1000;64k;48229;1816;2375;1701;2247;1701;64;279402;0,870717729294
1000;128k;48211;1679;2247;1678;2246;1678;64;277394;0,86446007473
1000;256k;48204;1649;2244;1649;2244;1649;64;275537;0,858672990804
1000;512k;48211;1698;2246;1698;2246;1698;64;278610;0,868249570721
