L2 Size
problem;l2usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;64k;48219;1900;2485;1821;2348;1681;64;280703;1,0
300;128k;48235;1900;2488;1683;2248;1683;64;278819;0,993288279783
300;256k;48225;1901;2484;1700;2246;1700;64;279786;0,996733201996
300;512k;48225;1899;2484;1671;2245;1671;64;277934;0,990135481274
300;1m;48215;1900;2485;1681;2247;1681;64;278606;0,99252947065
300;2m;48208;1902;2487;1673;2245;1673;64;278038;0,99050597963
300;4m;48215;1897;2482;1687;2246;1687;64;278943;0,993730027823
300;8m;48208;1901;2485;1681;2246;1681;64;278561;0,992369158862
300;16m;48219;1901;2484;1701;2247;1701;64;279866;0,997018200732
512;64k;48220;1904;2487;1809;2339;1700;64;281831;1,0
512;128k;48225;1900;2483;1702;2246;1700;64;279770;0,992687106812
512;256k;48235;1902;2487;1701;2249;1701;64;279972;0,993403848406
512;512k;48226;1899;2484;1650;2244;1650;64;276584;0,981382459701
512;1m;48216;1901;2485;1699;2245;1699;64;279682;0,99237486295
512;2m;48216;1901;2486;1680;2246;1680;64;278520;0,988251824675
512;4m;48215;1900;2483;1701;2247;1701;64;279854;0,992985157772
512;8m;48208;1903;2485;1701;2246;1701;64;279817;0,992853873421
512;16m;48220;1900;2485;1680;2246;1680;64;278524;0,988266017578
1000;64k;48221;1904;2489;1819;2349;1677;64;280488;1,0
1000;128k;48239;1900;2488;1692;2252;1687;64;279165;0,995283220673
1000;256k;48230;1903;2486;1700;2246;1700;64;279804;0,997561393001
1000;512k;48220;1903;2491;1682;2250;1682;64;278796;0,99396765637
1000;1m;48226;1900;2485;1697;2245;1697;64;279578;0,996755654431
1000;2m;48226;1901;2486;1673;2245;1673;64;278070;0,991379310345
1000;4m;48225;1901;2484;1701;2247;1701;64;279878;0,997825218904
1000;8m;48225;1901;2484;1701;2247;1701;64;279878;0,997825218904
1000;16m;48224;1905;2487;1701;2246;1701;64;279857;0,997750349391
