L3 Associativity
problem;l3uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48218;1899;2484;1668;2246;1668;64;277760;1,0
300;2;48218;1903;2486;1701;2247;1701;64;279872;1,00760368664
300;3;48219;1899;2484;1689;2245;1689;64;279056;1,00466589862
300;4;48219;1903;2488;1672;2246;1672;64;278030;1,00097206221
300;8;48211;1902;2486;1681;2246;1681;64;278571;1,00291978687
300;16;48217;1902;2487;1670;2245;1670;64;277867;1,00038522465
300;32;48234;1904;2492;1678;2250;1678;64;278576;1,00293778802
300;64;48234;1901;2489;1657;2249;1657;64;277212;0,998027073733
300;128;48223;1905;2487;1701;2246;1701;64;279855;1,00754248272
512;1;48211;1905;2487;1701;2246;1701;64;279831;1,0
512;2;48228;1900;2487;1660;2249;1660;64;277379;0,991237568389
512;3;48211;1905;2487;1701;2246;1701;64;279831;1,0
512;4;48228;1902;2490;1682;2250;1682;64;278808;0,996344222048
512;8;48228;1900;2487;1661;2249;1661;64;277442;0,991462704275
512;16;48225;1901;2486;1677;2245;1677;64;278320;0,994600312331
512;32;48217;1901;2485;1681;2246;1681;64;278579;0,995525870972
512;64;48234;1902;2490;1682;2250;1682;64;278820;0,996387105074
512;128;48223;1902;2486;1699;2245;1699;64;279700;0,999531860301
1000;1;48225;1900;2485;1681;2247;1681;64;278626;1,0
1000;2;48235;1901;2489;1683;2249;1683;64;278852;1,00081112315
1000;3;48226;1900;2485;1683;2245;1683;64;278696;1,00025123284
1000;4;48218;1902;2486;1681;2246;1681;64;278585;0,999852849339
1000;8;48225;1902;2486;1701;2247;1701;64;279888;1,00452936912
1000;16;48239;1903;2488;1702;2250;1702;64;280076;1,00520410873
1000;32;48230;1898;2483;1694;2245;1694;64;279389;1,00273843791
1000;64;48222;1900;2484;1683;2245;1683;64;278682;1,00020098627
1000;128;48211;1897;2482;1695;2246;1695;64;279439;1,00291788993
