Line Size
problem;lsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;8;52594;8806;9470;8226;9035;8226;8;924649;1,0
300;16;50074;5652;7448;5165;7020;5165;16;662507;0,716495664841
300;32;48835;3234;4268;2934;3962;2934;32;416550;0,450495269016
300;64;48219;1901;2484;1699;2245;1699;64;279682;0,302473695424
300;128;47878;1148;1478;978;1274;978;128;331982;0,359035698952
300;256;47717;763;967;574;744;574;256;389876;0,421647565725
300;512;47640;621;758;355;449;355;512;475649;0,514410333002
300;1024;47591;609;714;213;270;213;1024;580072;0,627342916069
512;8;52594;8806;9469;8204;9035;8204;8;923257;1,0
512;16;50074;5656;7446;5263;7020;5263;16;668661;0,724241462561
512;32;48835;3238;4271;2967;3962;2967;32;418639;0,453437125307
512;64;48219;1903;2486;1699;2245;1699;64;279690;0,302938401767
512;128;47862;1145;1478;967;1275;967;128;329877;0,357297047301
512;256;47716;763;964;574;744;574;256;389856;0,422261623795
512;512;47640;619;755;354;448;354;512;474570;0,514017223807
512;1024;47592;609;713;214;271;214;1024;582065;0,630447426881
1000;8;52545;8805;9453;8217;9024;8217;8;923565;1,0
1000;16;50081;5653;7449;5156;7019;5156;16;661929;0,71671078917
1000;32;48842;3236;4270;2888;3963;2888;32;413703;0,447941400984
1000;64;48218;1905;2488;1701;2246;1701;64;279851;0,303011699231
1000;128;47864;1147;1477;978;1274;978;128;331944;0,359415958812
1000;256;47719;764;969;572;746;572;256;389078;0,421278415704
1000;512;47627;615;753;351;449;351;512;471545;0,51057045254
1000;1024;47595;607;712;213;272;210;1024;575333;0,622948032894
