L1 Associativity
problem;l1dassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48230;2510;3272;1673;2244;1673;64;281547;1,0
300;2;48241;1964;2559;1702;2250;1702;64;280384;0,99586925096
300;3;48231;1939;2526;1701;2247;1701;64;280066;0,994739777018
300;4;48241;1922;2510;1702;2250;1702;64;280174;0,995123371941
300;5;48224;1911;2494;1668;2245;1668;64;277779;0,986616799327
300;6;48241;1896;2479;1702;2250;1702;64;280040;0,994647430092
300;7;48232;1903;2487;1659;2245;1659;64;277202;0,984567407928
300;8;48241;1903;2488;1702;2250;1702;64;280080;0,994789502286
512;1;48230;2398;3027;1679;2244;1679;64;280679;1,0
512;2;48230;2034;2632;1679;2244;1679;64;279037;0,994149900776
512;3;48222;1935;2520;1680;2244;1680;64;278610;0,992628589955
512;4;48229;1917;2503;1680;2245;1680;64;278587;0,992546645812
512;5;48229;1910;2494;1680;2245;1680;64;278547;0,99240413426
512;6;48229;1890;2473;1680;2245;1680;64;278461;0,992097734423
512;7;48222;1907;2491;1699;2244;1699;64;279689;0,99647283908
512;8;48239;1901;2487;1700;2248;1700;64;279890;0,99718895963
1000;1;48216;2977;3831;1663;2244;1663;64;283309;1,0
1000;2;48226;2004;2616;1683;2247;1683;64;279332;0,985962323823
1000;3;48217;1926;2510;1679;2244;1679;64;278495;0,983007952448
1000;4;48226;1934;2526;1700;2248;1700;64;280032;0,988433124257
1000;5;48217;1912;2495;1698;2244;1698;64;279630;0,987014178865
1000;6;48226;1898;2481;1700;2248;1700;64;279834;0,987734240705
1000;7;48216;1905;2487;1699;2245;1699;64;279686;0,987211842899
1000;8;48216;1898;2481;1699;2245;1699;64;279664;0,987134189172
