L1 Size
problem;l1dsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1k;48229;9408;12059;1674;2244;1674;64;320534;1,0
300;2k;48228;6440;8043;1700;2246;1700;64;304068;0,948629474564
300;4k;48238;3580;4393;1685;2248;1685;64;287021;0,895446348905
300;8k;48228;2844;3520;1675;2245;1675;64;282518;0,881397917226
300;16k;48211;2059;2662;1681;2246;1681;64;279313;0,871398977956
300;64k;48211;1811;2370;1660;2244;1660;64;276676;0,863172081589
300;128k;48218;1696;2245;1693;2245;1693;64;278278;0,868169991327
300;256k;48219;1679;2244;1679;2244;1679;64;277397;0,86542145295
300;512k;48218;1699;2245;1699;2245;1699;64;278650;0,869330554637
512;1k;48221;9362;11955;1681;2245;1681;64;320456;1,0
512;2k;48228;6555;8281;1681;2246;1681;64;304069;0,94886349452
512;4k;48238;3599;4425;1701;2249;1701;64;288212;0,899380882243
512;8k;48229;2852;3531;1699;2245;1699;64;284082;0,886492997479
512;16k;48211;2051;2656;1662;2245;1662;64;278067;0,86772286991
512;64k;48220;1822;2389;1682;2249;1682;64;278317;0,868503008213
512;128k;48211;1685;2253;1680;2244;1680;64;277486;0,865909828494
512;256k;48218;1692;2244;1692;2244;1692;64;278188;0,868100456849
512;512k;48218;1664;2244;1664;2244;1664;64;276480;0,862770551963
1000;1k;48204;9369;11933;1700;2245;1700;64;321473;1,0
1000;2k;48211;6440;8035;1659;2245;1659;64;301374;0,93747841965
1000;4k;48211;3521;4307;1673;2246;1673;64;285755;0,888892690833
1000;8k;48211;2847;3523;1700;2246;1700;64;284100;0,883744513536
1000;16k;48220;2058;2662;1698;2244;1698;64;280346;0,872067016515
1000;64k;48219;1812;2373;1693;2245;1693;64;278816;0,867307674361
1000;128k;48226;1670;2245;1659;2244;1659;64;276175;0,859092365455
1000;256k;48226;1664;2244;1664;2244;1664;64;276496;0,860090894103
1000;512k;48226;1699;2245;1699;2245;1699;64;278666;0,86684107219
