L2 Associativity
problem;l2uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48224;1900;2484;1755;2291;1682;64;279519;1,0
300;2;48241;1903;2488;1727;2253;1702;64;280017;1,00178163202
300;3;48224;1901;2486;1698;2245;1698;64;279641;1,00043646407
300;4;48241;1899;2486;1687;2249;1687;64;279102;0,998508151503
300;8;48231;1897;2482;1688;2246;1688;64;279038;0,998279186746
300;16;48227;1899;2486;1668;2249;1668;64;277877;0,994125622945
300;32;48210;1900;2484;1685;2245;1685;64;278784;0,997370482865
300;64;48217;1897;2482;1665;2246;1665;64;277561;0,992995109456
300;128;48221;1902;2487;1682;2248;1682;64;278718;0,997134362959
512;1;48229;1898;2481;1771;2282;1699;64;280331;1,0
512;2;48239;1900;2485;1776;2255;1700;64;279627;0,997488683021
512;3;48229;1899;2482;1700;2245;1699;64;279688;0,99770628293
512;4;48222;1904;2486;1699;2244;1699;64;279665;0,997624237063
512;8;48230;1896;2481;1683;2243;1683;64;278630;0,993932173038
512;16;48216;1897;2482;1680;2243;1680;64;278417;0,993172356964
512;32;48225;1898;2486;1681;2248;1681;64;278665;0,994057025445
512;64;48215;1895;2480;1693;2245;1693;64;279284;0,996265129436
512;128;48212;1904;2486;1700;2245;1700;64;279737;0,997881076299
1000;1;48209;1899;2483;1760;2288;1680;64;279230;1,0
1000;2;48217;1896;2481;1667;2250;1662;64;277454;0,9936396519
1000;3;48226;1897;2484;1689;2247;1689;64;279132;0,999649034846
1000;4;48226;1898;2486;1667;2247;1667;64;277756;0,994721197579
1000;8;48226;1901;2486;1700;2248;1700;64;279858;1,00224904201
1000;16;48213;1899;2483;1680;2245;1680;64;278471;0,997281810694
1000;32;48213;1905;2487;1700;2245;1700;64;279743;1,00183719514
1000;64;48220;1899;2484;1680;2246;1680;64;278520;0,997457293271
1000;128;48228;1897;2483;1680;2246;1680;64;278534;0,99750743115
