L2 Size
problem;l2usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;64k;48239;1899;2487;1804;2342;1697;64;281789;1,0
300;128k;48216;1903;2486;1700;2245;1699;64;279678;0,992508579114
300;256k;48216;1902;2485;1699;2245;1699;64;279680;0,992515676623
300;512k;48215;1897;2482;1681;2246;1681;64;278565;0,988558815284
300;1m;48225;1901;2484;1700;2246;1700;64;279786;0,992891844607
300;2m;48225;1901;2484;1700;2246;1700;64;279786;0,992891844607
300;4m;48226;1897;2482;1693;2245;1693;64;279314;0,991216832453
300;8m;48218;1903;2485;1700;2245;1700;64;279745;0,99274634567
300;16m;48239;1900;2488;1680;2248;1680;64;278638;0,988817874367
512;64k;48239;1900;2487;1811;2348;1675;64;280401;1,0
512;128k;48225;1901;2486;1708;2251;1701;64;279964;0,998441517684
512;256k;48208;1899;2483;1682;2244;1682;64;278558;0,993427270231
512;512k;48216;1902;2485;1699;2245;1699;64;279680;0,997428682494
512;1m;48218;1898;2482;1660;2244;1660;64;277188;0,988541410337
512;2m;48218;1898;2482;1664;2244;1664;64;277440;0,989440123252
512;4m;48218;1903;2485;1700;2245;1700;64;279745;0,997660493365
512;8m;48226;1902;2485;1699;2245;1699;64;279700;0,997500008916
512;16m;48239;1901;2489;1682;2249;1682;64;278797;0,994279620971
1000;64k;48216;1897;2482;1812;2342;1681;64;280565;1,0
1000;128k;48213;1902;2486;1682;2247;1679;64;278460;0,99249728227
1000;256k;48220;1898;2483;1680;2245;1680;64;278487;0,992593516654
1000;512k;48213;1899;2483;1659;2244;1659;64;277119;0,987717641188
1000;1m;48230;1897;2482;1681;2246;1681;64;278595;0,992978454191
1000;2m;48240;1902;2488;1701;2249;1701;64;279988;0,997943435568
1000;4m;48240;1901;2488;1673;2248;1673;64;278197;0,991559888083
1000;8m;48240;1899;2486;1682;2249;1682;64;278785;0,993655659116
1000;16m;48209;1898;2482;1692;2244;1692;64;279186;0,995084917933
