Line Size
problem;lsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;8;52584;8822;9487;8213;9038;8213;8;923967;1,0
300;16;50081;5654;7449;5214;7022;5214;16;665668;0,720445643621
300;32;48844;3249;4284;2972;3969;2972;32;419231;0,453729408085
300;64;48235;1901;2487;1701;2249;1701;64;279974;0,303012986395
300;128;47854;1146;1478;961;1271;961;128;328609;0,355650147678
300;256;47704;763;964;571;743;571;256;388471;0,420438175822
300;512;47629;602;736;345;447;345;512;465157;0,503434646475
300;1024;47598;609;712;214;270;214;1024;582042;0,629938082204
512;8;52584;8815;9482;8227;9038;8227;8;924833;1,0
512;16;50081;5651;7447;5210;7018;5210;16;665294;0,719366631597
512;32;48842;3241;4274;2968;3963;2968;32;418757;0,452792017586
512;64;48235;1899;2486;1654;2248;1654;64;276982;0,299494070821
512;128;47858;1146;1476;978;1275;978;128;331951;0,358930747497
512;256;47705;760;961;578;743;578;256;391515;0,42333588875
512;512;47629;610;748;353;449;353;512;473223;0,511684812285
512;1024;47598;598;707;214;271;213;1024;579534;0,626636376513
1000;8;52586;8826;9480;8312;9046;8312;8;930390;1,0
1000;16;50087;5651;7447;5166;7020;5166;16;662592;0,712165865927
1000;32;48847;3241;4274;2969;3964;2969;32;418859;0,450197229119
1000;64;48230;1898;2483;1681;2246;1681;64;278599;0,299443244231
1000;128;47857;1145;1475;977;1274;977;128;331720;0,356538655833
1000;256;47706;759;961;574;744;574;256;389754;0,418914648696
1000;512;47635;617;754;349;447;349;512;469685;0,504825933211
1000;1024;47607;581;687;211;271;210;1024;572032;0,614830339965
