L1 Associativity
problem;l1dassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;48217;2235;2890;1701;2246;1701;64;281601;1,0
300;2;48224;1960;2550;1699;2246;1699;64;279999;0,994311099748
300;3;48234;1936;2527;1702;2250;1702;64;280234;0,995145613829
300;4;48224;1912;2499;1655;2246;1655;64;277017;0,983721648716
300;5;48234;1915;2503;1686;2249;1686;64;279095;0,991100883875
300;6;48225;1894;2474;1700;2246;1700;64;279740;0,993391358695
300;7;48224;1901;2484;1650;2247;1650;64;276663;0,982464550907
300;8;48224;1900;2485;1671;2246;1671;64;277965;0,987088114034
512;1;48224;2229;2887;1653;2246;1653;64;278585;1,0
512;2;48224;2016;2630;1681;2247;1681;64;279262;1,00243013802
512;3;48234;1942;2531;1702;2250;1702;64;280246;1,00596227363
512;4;48234;1922;2509;1702;2250;1702;64;280154;1,00563203331
512;5;48217;1910;2494;1684;2245;1684;64;278775;1,00068201806
512;6;48225;1897;2479;1700;2246;1700;64;279764;1,00423210151
512;7;48224;1908;2493;1681;2247;1681;64;278656;1,00025485938
512;8;48234;1901;2488;1684;2249;1684;64;278907;1,00115584113
1000;1;48229;2182;2838;1678;2246;1678;64;279970;1,0
1000;2;48238;1949;2543;1691;2249;1691;64;279590;0,998642711719
1000;3;48228;1927;2516;1660;2246;1660;64;277412;0,990863306783
1000;4;48228;1906;2493;1670;2246;1670;64;277946;0,992770653999
1000;5;48229;1916;2502;1680;2246;1680;64;278612;0,995149480301
1000;6;48228;1907;2489;1701;2247;1701;64;279902;0,999757116834
1000;7;48228;1909;2493;1681;2247;1681;64;278662;0,995328070865
1000;8;48221;1904;2486;1701;2246;1701;64;279847;0,999560667214
