L3 Size
problem;l3usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;512k;48230;1900;2486;1675;2246;1675;64;278235;1,0
300;1m;48220;1899;2484;1695;2245;1695;64;279436;1,00431649505
300;2m;48219;1902;2485;1701;2247;1701;64;279870;1,00587632756
300;4m;48219;1899;2484;1651;2246;1651;64;276691;0,994450734092
300;8m;48229;1900;2487;1694;2249;1694;64;279523;1,00462918037
300;16m;48226;1903;2488;1672;2246;1672;64;278044;0,99931352993
300;32m;48218;1903;2487;1672;2245;1672;64;277993;0,999130231639
300;64m;48226;1900;2485;1650;2245;1650;64;276617;0,994184771866
300;128m;48223;1899;2484;1666;2245;1666;64;277615;0,997771667835
512;512k;48223;1899;2484;1659;2245;1659;64;277174;1,0
512;1m;48218;1901;2486;1677;2247;1677;64;278364;1,00429333199
512;2m;48211;1907;2489;1701;2246;1701;64;279839;1,00961489894
512;4m;48228;1901;2489;1667;2249;1667;64;277830;1,00236674436
512;8m;48211;1903;2487;1681;2246;1681;64;278575;1,00505458665
512;16m;48217;1901;2485;1667;2245;1667;64;277668;1,00178227395
512;32m;48224;1898;2483;1665;2246;1665;64;277579;1,00146117601
512;64m;48235;1901;2489;1683;2249;1683;64;278852;1,00605395889
512;128m;48240;1899;2487;1697;2249;1697;64;279736;1,00924329122
1000;512k;48216;1897;2482;1666;2246;1666;64;277622;1,0
1000;1m;48238;1904;2490;1702;2250;1702;64;280084;1,00886817327
1000;2m;48228;1902;2485;1701;2247;1701;64;279888;1,00816217735
1000;4m;48238;1900;2488;1651;2249;1651;64;276838;0,99717601631
1000;8m;48221;1901;2486;1671;2246;1671;64;277963;1,00122828882
1000;16m;48229;1900;2485;1677;2247;1677;64;278382;1,00273753521
1000;32m;48229;1897;2482;1650;2247;1650;64;276669;0,996567274928
1000;64m;48239;1904;2490;1702;2250;1702;64;280086;1,00887537731
1000;128m;48217;1900;2485;1680;2246;1680;64;278518;1,00322740993
