L1 Associativity
problem;l1dassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;47699;2520;3260;1589;2136;1589;64;271969;1,0
300;2;47690;1832;2428;1587;2132;1587;64;268093;0,985748375734
300;3;47689;1800;2384;1588;2134;1588;64;268012;0,985450547673
300;4;47682;1794;2382;1588;2133;1588;64;267969;0,985292441418
300;5;47699;1794;2381;1589;2136;1589;64;268147;0,985946927775
300;6;47690;1778;2362;1586;2132;1586;64;267742;0,984457787468
300;7;47691;1779;2361;1585;2130;1585;64;267615;0,983990822483
300;8;47690;1779;2366;1586;2132;1586;64;267764;0,984538679041
512;1;47689;2214;2932;1588;2134;1588;64;270472;1,0
512;2;47689;1837;2431;1588;2134;1588;64;268220;0,991673814665
512;3;47689;1809;2392;1588;2134;1588;64;268042;0,991015705877
512;4;47699;1801;2391;1589;2136;1589;64;268193;0,991573989174
512;5;47682;1793;2379;1588;2133;1588;64;267953;0,990686651483
512;6;47690;1794;2378;1587;2132;1587;64;267869;0,990376083291
512;7;47664;1783;2367;1588;2133;1588;64;267865;0,99036129433
512;8;47671;1783;2370;1588;2134;1588;64;267926;0,990586825993
1000;1;47687;2241;2969;1588;2135;1588;64;270665;1,0
1000;2;47672;1843;2436;1586;2131;1586;64;267991;0,990120628822
1000;3;47670;1812;2399;1587;2132;1587;64;267919;0,989854617331
1000;4;47672;1802;2389;1586;2131;1586;64;267791;0,989381708015
1000;5;47681;1814;2401;1586;2131;1586;64;267857;0,989625551881
1000;6;47690;1792;2378;1588;2135;1588;64;268023;0,990238856151
1000;7;47670;1782;2367;1587;2132;1587;64;267787;0,989366929599
1000;8;47687;1785;2374;1588;2135;1588;64;268007;0,990179742486
