L1 Size
problem;l1dsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1k;47690;8876;11480;1586;2131;1586;64;308225;1,0
300;2k;47690;6197;7929;1586;2131;1586;64;292277;0,948258577338
300;4k;47690;3155;4023;1586;2131;1586;64;274925;0,891962040717
300;8k;47699;2214;2872;1588;2135;1588;64;270161;0,876505799335
300;16k;47686;1912;2513;1588;2135;1588;64;268585;0,871392651472
300;64k;47686;1697;2259;1588;2135;1588;64;267491;0,867843296293
300;128k;47681;1589;2133;1586;2131;1586;64;266699;0,865273744829
300;256k;47681;1586;2131;1586;2131;1586;64;266693;0,86525427853
300;512k;47681;1586;2131;1586;2131;1586;64;266693;0,86525427853
512;1k;47700;8883;11576;1588;2135;1588;64;309049;1,0
512;2k;47690;6076;7826;1587;2133;1587;64;292022;0,944905176849
512;4k;47690;3030;3856;1587;2133;1587;64;274294;0,887542104974
512;8k;47699;2204;2862;1588;2135;1588;64;270121;0,874039391812
512;16k;47686;1912;2513;1588;2135;1588;64;268585;0,869069306162
512;64k;47677;1704;2267;1586;2131;1586;64;267265;0,864798138806
512;128k;47680;1587;2133;1587;2133;1587;64;266822;0,863364709156
512;256k;47673;1587;2132;1587;2132;1587;64;266773;0,863206158247
512;512k;47680;1587;2133;1587;2133;1587;64;266822;0,863364709156
1000;1k;47672;8713;11288;1588;2134;1588;64;307576;1,0
1000;2k;47665;6173;7861;1588;2133;1588;64;292051;0,949524670325
1000;4k;47677;3104;3966;1587;2133;1587;64;274780;0,893372694879
1000;8k;47681;2216;2872;1589;2136;1589;64;270213;0,878524332198
1000;16k;47674;1908;2507;1587;2132;1587;64;268383;0,872574583192
1000;64k;47690;1699;2260;1588;2135;1588;64;267501;0,869706999246
1000;128k;48227;1698;2249;1695;2245;1695;64;278442;0,905278695347
1000;256k;48236;1685;2249;1685;2249;1685;64;277972;0,903750617734
1000;512k;48219;1701;2246;1701;2246;1701;64;278809;0,906471896377
