L2 Size
problem;l2usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;64k;47664;1784;2371;1684;2218;1588;64;269776;1,0
300;128k;47680;1783;2369;1589;2134;1586;64;267794;0,992653164107
300;256k;47672;1785;2372;1587;2132;1587;64;267815;0,992731006465
300;512k;47679;1782;2369;1587;2133;1587;64;267846;0,992845916612
300;1m;47691;1781;2367;1586;2131;1586;64;267739;0,992449291264
300;2m;47691;1783;2369;1586;2131;1586;64;267747;0,992478945496
300;4m;47700;1786;2375;1588;2135;1588;64;268037;0,993553911393
300;8m;47700;1785;2374;1588;2135;1588;64;268033;0,993539084277
300;16m;47664;1785;2372;1588;2133;1588;64;267891;0,993012721665
512;64k;47664;1783;2370;1691;2226;1588;64;269962;1,0
512;128k;47680;1782;2368;1589;2134;1586;64;267790;0,991954423215
512;256k;47689;1786;2375;1588;2135;1588;64;268015;0,992787873849
512;512k;47669;1786;2373;1587;2132;1587;64;267813;0,992039620391
512;1m;47698;1785;2374;1588;2135;1588;64;268029;0,992839732999
512;2m;47691;1782;2368;1586;2131;1586;64;267743;0,991780324638
512;4m;47689;1783;2369;1586;2131;1586;64;267743;0,991780324638
512;8m;47690;1784;2371;1587;2133;1587;64;267876;0,992272986568
512;16m;47664;1784;2371;1588;2133;1588;64;267887;0,992313733044
1000;64k;48212;1905;2487;1809;2342;1701;64;281969;1,0
1000;128k;48227;1901;2484;1704;2249;1701;64;279922;0,992740336704
1000;256k;48220;1901;2486;1681;2246;1681;64;278591;0,988019959641
1000;512k;48237;1899;2487;1660;2250;1660;64;277428;0,983895392756
1000;1m;48204;1906;2488;1702;2247;1702;64;279913;0,992708418301
1000;2m;48220;1902;2489;1685;2250;1685;64;278975;0,989381811476
1000;4m;48220;1902;2490;1688;2250;1688;64;279170;0,990073376861
1000;8m;47672;1785;2371;1587;2132;1587;64;267809;0,949781713593
1000;16m;47673;1784;2371;1587;2132;1587;64;267813;0,949795899549
