L3 Associativity
problem;l3uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;1;47687;1781;2368;1587;2133;1647;64;271998;1,0
300;2;47688;1784;2370;1586;2131;1586;64;267745;0,984363855617
300;3;47688;1784;2370;1586;2131;1586;64;267745;0,984363855617
300;4;47687;1783;2370;1587;2133;1587;64;267866;0,984808711829
300;8;47700;1784;2373;1588;2135;1588;64;268029;0,985407980941
300;16;47671;1786;2372;1587;2132;1587;64;267811;0,98460650446
300;32;47680;1784;2372;1589;2136;1589;64;268075;0,985577099832
300;64;47671;1785;2372;1588;2134;1588;64;267934;0,985058713667
300;128;47679;1783;2371;1587;2133;1587;64;267856;0,984771946853
512;1;47688;1784;2370;1586;2131;1586;64;267745;1,0
512;2;47680;1783;2370;1587;2132;1587;64;267823;1,00029132197
512;3;47690;1781;2368;1587;2133;1587;64;267864;1,00044445274
512;4;47691;1784;2370;1586;2131;1586;64;267751;1,00002240938
512;8;47700;1783;2371;1588;2135;1588;64;268019;1,00102336178
512;16;47671;1783;2370;1588;2134;1588;64;267926;1,00067601636
512;32;47671;1785;2372;1587;2132;1587;64;267813;1,000253973
512;64;47682;1784;2371;1588;2133;1588;64;267923;1,00066481167
512;128;47672;1785;2372;1587;2132;1587;64;267815;1,00026144279
1000;1;47690;1784;2371;1588;2134;1588;64;267968;1,0
1000;2;47681;1787;2376;1589;2136;1589;64;268095;1,00047393719
1000;3;47672;1784;2370;1587;2132;1587;64;267805;0,999391718414
1000;4;47665;1785;2372;1588;2133;1588;64;267893;0,999720115835
1000;8;47700;1784;2372;1589;2136;1589;64;268115;1,00054857296
1000;16;47673;1788;2376;1587;2132;1587;64;267835;0,99950367208
1000;32;47677;1783;2370;1587;2133;1587;64;267846;0,999544721758
1000;64;47678;1784;2370;1586;2131;1586;64;267725;0,999093175305
1000;128;47684;1784;2370;1586;2131;1586;64;267737;0,999137956771
