Line Size
problem;lsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
300;8;49175;7896;8621;7407;8149;7407;8;837246;1,0
300;16;48320;5193;7010;4815;6581;4815;16;622508;0,743518631322
300;32;47901;3004;4044;2741;3737;2741;32;395114;0,47192103635
300;64;47680;1785;2372;1587;2132;1587;64;267831;0,319895227926
300;128;47522;1083;1415;921;1215;921;128;318091;0,379925374382
300;256;47475;729;931;553;714;553;256;378438;0,452003353853
300;512;47451;589;722;341;432;341;512;459954;0,549365419482
300;1024;47450;585;683;208;263;208;1024;567449;0,677756597225
512;8;49172;7876;8589;7400;8136;7400;8;836270;1,0
512;16;48315;5195;7012;4814;6580;4814;16;622414;0,7442739785
512;32;47899;3005;4047;2741;3738;2741;32;395155;0,472520836572
512;64;47701;1784;2372;1588;2135;1588;64;268025;0,320500556041
512;128;47535;1084;1415;922;1217;922;128;318369;0,38070120894
512;256;47475;729;931;553;714;553;256;378438;0,452530881175
512;512;47450;591;724;342;434;342;512;461054;0,551321941478
512;1024;47453;557;655;208;263;208;1024;564823;0,675407464097
1000;8;49177;7894;8615;7407;8149;7407;8;837218;1,0
1000;16;48286;5192;7005;4811;6575;4811;16;621986;0,742920004109
1000;32;47879;3005;4047;2742;3739;2742;32;395207;0,472047901502
1000;64;47672;1784;2370;1586;2131;1586;64;267713;0,319764983553
1000;128;47532;1083;1415;921;1215;921;128;318111;0,379961969284
1000;256;47497;726;926;553;714;553;256;378404;0,451977860008
1000;512;47461;587;719;341;432;341;512;459876;0,549290626814
1000;1024;47440;583;680;208;262;207;1024;565667;0,675650786295
